document_id,source_record_id,source_title,source_family,source_url,parent_document_id,archive_entry_path,document_label,document_url,document_role,priority_score,file_extension,fetch_status,parse_status,page_count,rendered_page_count,text_char_count,table_count,archive_entry_count,money_amount_count,date_count,procurement_ref_count,location_token_count,review_priority,limitations
mscl_doc_8cd441f5654a2ba0_child_e9059c33b004fc9b,mscl_project_9d8efd51940b0efb,Installation of Rooftop Solar on Government Building in ABD area-Phase 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/34,mscl_doc_8cd441f5654a2ba0,2. rfp_mscl_govt    buildings_14122017.docx,2. rfp_mscl_govt    buildings_14122017.docx,https://mangalurusmartcity.net/contents/7973303.48658064-106144.640008879.zip#archive-entry=2.%20rfp_mscl_govt%20%20%20%20buildings_14122017.docx,rfp,108,.docx,archive_extracted,parsed,0,0,128676,0,0,7,14,58,1,high,
mscl_doc_8cd441f5654a2ba0_child_c8d5535e2eb377de,mscl_project_9d8efd51940b0efb,Installation of Rooftop Solar on Government Building in ABD area-Phase 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/34,mscl_doc_8cd441f5654a2ba0,3.0 ( 27.12.2017) DRAFT PROJECT DEVELOPMENT AND IMPLEMENTATION.docx,3.0 ( 27.12.2017) DRAFT PROJECT DEVELOPMENT AND IMPLEMENTATION.docx,https://mangalurusmartcity.net/contents/7973303.48658064-106144.640008879.zip#archive-entry=3.0%20%28%2027.12.2017%29%20DRAFT%20PROJECT%20DEVELOPMENT%20AND%20IMPLEMENTATION.docx,boq,78,.docx,archive_extracted,parsed,0,0,223944,0,0,6,5,71,6,medium,
mscl_doc_7265529cf0d9221a,mscl_project_706b1fa83545292f,Construction of Command Control Center Building- annexe to MCC Building,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/25,,,DPR,https://mangalurusmartcity.net/contents/133941.811571802-161049.58085899.pdf,dpr,65,.pdf,exists,parsed,3,1,992508,0,0,175,43,278,14,low,
mscl_doc_ce7681ef7d4e8c8c,mscl_project_9d8efd51940b0efb,Installation of Rooftop Solar on Government Building in ABD area-Phase 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/34,,,DPR,https://mangalurusmartcity.net/contents/1579151.82950867-663333.337671621.pdf,dpr,65,.pdf,exists,parsed,3,1,322621,0,0,10,6,76,6,low,
mscl_doc_42576b08fdb00b83,mscl_project_b6c2f9b5ed0ab8bd,LED Light in Govt. Buildings,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/20,,,DPR,https://mangalurusmartcity.net/contents/1689293.06403235-1142634.5289712.pdf,dpr,65,.pdf,exists,parsed,3,1,117100,0,0,15,13,45,8,low,
mscl_doc_d0d364eff40e1000,mscl_project_038ab4aebc843da1,Upgradation of Mangala Stadium,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/27,,,DPR,https://mangalurusmartcity.net/contents/2501399.49959768-620706.256433225.pdf,dpr,65,.pdf,exists,parsed,3,1,355810,0,0,25,12,28,3,low,
mscl_doc_fa18f450a3b36500,mscl_project_0ec62aa9ef918d00,Connector Road from NH66 near Jeppu to Morgansgate Including construction of RUB,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/24,,,DPR,https://mangalurusmartcity.net/contents/2515728.14887191-994752.672272598.pdf,dpr,65,.pdf,exists,parsed,3,1,30558,0,0,14,2,2,5,low,
mscl_doc_d263bdad4a1ffdf9,mscl_project_ebb19874b0a0a54b,Implementation of E-Smart School (Civil Infrastructure),mscl_live_public_project_pages,https://mangalurusmartcity.net/project/18,,,DPR,https://mangalurusmartcity.net/contents/4065414.82734746-137709.013929048.pdf,dpr,65,.pdf,exists,parsed,3,1,257192,0,0,13,13,57,7,low,
mscl_doc_c55280669cb65ba5,mscl_project_775f00415a9213f8,Smart Road 2,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/39,,,DPR,https://mangalurusmartcity.net/contents/4105976.88244003-1470450.39597824.pdf,dpr,65,.pdf,exists,parsed,3,1,25,0,0,0,0,0,0,low,
mscl_doc_4a3eac90104a1625,mscl_project_82c1fa287d154e3b,Development of Kadri Park,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/17,,,DPR,https://mangalurusmartcity.net/contents/4217599.28773046-1406237.93030228.pdf,dpr,65,.pdf,exists,parsed,3,1,236,0,0,0,0,0,1,low,
mscl_doc_cb56b1330e830143,mscl_project_f2a84dc69e6d7574,UGD 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/45,,,DPR,https://mangalurusmartcity.net/contents/445398.553481977-1109356.67405596.pdf,dpr,65,.pdf,exists,parsed,3,1,131682,0,0,6,12,14,8,low,
mscl_doc_6139148108eb2afc,mscl_project_fc77aba281b00c6d,Upgradation of Integrated Asset Management and Urban Property Ownership Record (UPOR) Building,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/30,,,DPR,https://mangalurusmartcity.net/contents/4849481.95277223-1458590.09618317.pdf,dpr,65,.pdf,exists,parsed,3,1,22356,0,0,3,1,3,4,low,
mscl_doc_3fa43b1fb3c4f791,mscl_project_60e5d9030ee362e3,Development of Indoor Stadium,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/28,,,DPR,https://mangalurusmartcity.net/contents/5266457.06280435-1472942.70447489.pdf,dpr,65,.pdf,exists,parsed,3,1,137610,0,0,12,18,18,5,low,
mscl_doc_f6817bab98dcb4d0,mscl_project_3d52e20e27a5b818,Smart Road 5,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/42,,,DPR,https://mangalurusmartcity.net/contents/5740284.93172502-883441.906883995.pdf,dpr,65,.pdf,exists,parsed,3,1,410972,0,0,14,3,23,14,low,
mscl_doc_958ecdd0a44a0c54,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,,,DPR,https://mangalurusmartcity.net/contents/6104404.0490428-1480365.87415031.pdf,dpr,65,.pdf,exists,parsed,3,1,992508,0,0,175,43,278,14,low,
mscl_doc_1041c4b480ffa325,mscl_project_fe66f2c90356ef06,Pedestrian Plaza,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/22,,,DPR,https://mangalurusmartcity.net/contents/6463753.0485465-1677.12175994745.pdf,dpr,65,.pdf,exists,parsed,3,1,28975,0,0,1,7,5,5,low,
mscl_doc_0667d1be83551b1f,mscl_project_90f3d29c46797e36,Wenlock Hospital Upgradation,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/14,,,DPR,https://mangalurusmartcity.net/contents/6562101.4389033-739708.455063954.pdf,dpr,65,.pdf,exists,parsed,3,1,15538,0,0,2,2,1,7,low,
mscl_doc_3d6ab778c6a64fb1,mscl_project_7b85572394c04d53,Skill Development Center,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/16,,,DPR,https://mangalurusmartcity.net/contents/6591991.74334854-226621.708836184.pdf,dpr,65,.pdf,exists,parsed,3,1,28120,0,0,5,3,6,3,low,
mscl_doc_aa02458439c8cde6,mscl_project_60002bfd95a402b0,Smart Road 3,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/38,,,DPR,https://mangalurusmartcity.net/contents/7239861.55224958-692338.433424255.pdf,dpr,65,.pdf,exists,parsed,3,1,257771,0,0,9,1,21,7,low,
mscl_doc_5cef47b8c17d45eb,mscl_project_aeada954e2b08803,Smart Road 4,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/41,,,DPR,https://mangalurusmartcity.net/contents/7422050.06416051-255728.240512292.pdf,dpr,65,.pdf,exists,parsed,3,1,295936,0,0,15,1,24,7,low,
mscl_doc_a14ff5883f0671fb,mscl_project_6d20e49cd6b8757a,Retrofitting of Carstreet,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/15,,,DPR,https://mangalurusmartcity.net/contents/8136011.34258137-1079358.11871345.pdf,dpr,65,.pdf,exists,parsed,3,1,523621,0,0,29,6,41,7,low,
mscl_doc_f656f56204232b12,mscl_project_2a8926b376b2c786,Implementation of E-Smart School (ICT),mscl_live_public_project_pages,https://mangalurusmartcity.net/project/4,,,DPR,https://mangalurusmartcity.net/contents/8470832.9702126-765242.68280777.pdf,dpr,65,.pdf,exists,parsed,3,1,183728,0,0,11,4,48,6,low,
