event_month,event_year,family_group,family_group_label,source_label,event_count
2011-12,2011,other,Other,Daijiworld,1
2011-12,2011,crime_public_safety,Public safety,Daijiworld,2
2011-12,2011,flood_weather,Rain and weather,Daijiworld,1
2011-12,2011,road_safety,Road safety,Daijiworld,18
2012-01,2012,civic_infrastructure,Civic work,Daijiworld,3
2012-01,2012,education,Education,Daijiworld,2
2012-01,2012,fire_emergency,Fire and emergency,Daijiworld,4
2012-01,2012,health,Health,Daijiworld,2
2012-01,2012,other,Other,Daijiworld,3
2012-01,2012,crime_public_safety,Public safety,Daijiworld,5
2012-01,2012,flood_weather,Rain and weather,Daijiworld,1
2012-01,2012,road_safety,Road safety,Daijiworld,14
2012-02,2012,education,Education,Daijiworld,2
2012-02,2012,fire_emergency,Fire and emergency,Daijiworld,7
2012-02,2012,other,Other,Daijiworld,1
2012-02,2012,crime_public_safety,Public safety,Daijiworld,1
2012-02,2012,flood_weather,Rain and weather,Daijiworld,3
2012-02,2012,road_safety,Road safety,Daijiworld,18
2012-03,2012,civic_infrastructure,Civic work,Daijiworld,2
2012-03,2012,education,Education,Daijiworld,1
2012-03,2012,fire_emergency,Fire and emergency,Daijiworld,1
2012-03,2012,other,Other,Daijiworld,9
2012-03,2012,crime_public_safety,Public safety,Daijiworld,2
2012-03,2012,flood_weather,Rain and weather,Daijiworld,1
2012-03,2012,road_safety,Road safety,Daijiworld,10
2012-04,2012,civic_infrastructure,Civic work,Daijiworld,2
2012-04,2012,education,Education,Daijiworld,1
2012-04,2012,fire_emergency,Fire and emergency,Daijiworld,4
2012-04,2012,health,Health,Daijiworld,1
2012-04,2012,other,Other,Daijiworld,2
2012-04,2012,crime_public_safety,Public safety,Daijiworld,1
2012-04,2012,flood_weather,Rain and weather,Daijiworld,3
2012-04,2012,road_safety,Road safety,Daijiworld,16
2012-05,2012,civic_infrastructure,Civic work,Daijiworld,9
2012-05,2012,education,Education,Daijiworld,3
2012-05,2012,fire_emergency,Fire and emergency,Daijiworld,9
2012-05,2012,health,Health,Daijiworld,3
2012-05,2012,other,Other,Daijiworld,3
2012-05,2012,crime_public_safety,Public safety,Daijiworld,4
2012-05,2012,flood_weather,Rain and weather,Daijiworld,3
2012-05,2012,road_safety,Road safety,Daijiworld,12
2012-06,2012,civic_infrastructure,Civic work,Daijiworld,8
2012-06,2012,education,Education,Daijiworld,3
2012-06,2012,fire_emergency,Fire and emergency,Daijiworld,6
2012-06,2012,other,Other,Daijiworld,1
2012-06,2012,crime_public_safety,Public safety,Daijiworld,6
2012-06,2012,flood_weather,Rain and weather,Daijiworld,4
2012-06,2012,road_safety,Road safety,Daijiworld,10
2012-07,2012,civic_infrastructure,Civic work,Daijiworld,5
2012-07,2012,education,Education,Daijiworld,1
2012-07,2012,fire_emergency,Fire and emergency,Daijiworld,1
2012-07,2012,health,Health,Daijiworld,1
2012-07,2012,other,Other,Daijiworld,1
2012-07,2012,crime_public_safety,Public safety,Daijiworld,1
2012-07,2012,flood_weather,Rain and weather,Daijiworld,2
2012-07,2012,road_safety,Road safety,Daijiworld,16
2012-08,2012,civic_infrastructure,Civic work,Daijiworld,2
2012-08,2012,education,Education,Daijiworld,2
2012-08,2012,fire_emergency,Fire and emergency,Daijiworld,2
2012-08,2012,health,Health,Daijiworld,5
2012-08,2012,crime_public_safety,Public safety,Daijiworld,2
2012-08,2012,flood_weather,Rain and weather,Daijiworld,3
2012-08,2012,road_safety,Road safety,Daijiworld,15
2012-09,2012,civic_infrastructure,Civic work,Daijiworld,2
2012-09,2012,education,Education,Daijiworld,1
2012-09,2012,fire_emergency,Fire and emergency,Daijiworld,1
2012-09,2012,health,Health,Daijiworld,1
2012-09,2012,other,Other,Daijiworld,2
2012-09,2012,crime_public_safety,Public safety,Daijiworld,1
2012-09,2012,flood_weather,Rain and weather,Daijiworld,3
2012-09,2012,road_safety,Road safety,Daijiworld,16
2012-10,2012,education,Education,Daijiworld,1
2012-10,2012,fire_emergency,Fire and emergency,Daijiworld,4
2012-10,2012,health,Health,Daijiworld,2
2012-10,2012,other,Other,Daijiworld,2
2012-10,2012,crime_public_safety,Public safety,Daijiworld,3
2012-10,2012,road_safety,Road safety,Daijiworld,22
2012-11,2012,civic_infrastructure,Civic work,Daijiworld,5
2012-11,2012,education,Education,Daijiworld,4
2012-11,2012,fire_emergency,Fire and emergency,Daijiworld,8
2012-11,2012,health,Health,Daijiworld,2
2012-11,2012,flood_weather,Rain and weather,Daijiworld,2
2012-11,2012,road_safety,Road safety,Daijiworld,10
2012-12,2012,civic_infrastructure,Civic work,Daijiworld,4
2012-12,2012,education,Education,Daijiworld,2
2012-12,2012,fire_emergency,Fire and emergency,Daijiworld,3
2012-12,2012,health,Health,Daijiworld,3
2012-12,2012,crime_public_safety,Public safety,Daijiworld,5
2012-12,2012,flood_weather,Rain and weather,Daijiworld,1
2012-12,2012,road_safety,Road safety,Daijiworld,15
2013-01,2013,civic_infrastructure,Civic work,Daijiworld,3
2013-01,2013,fire_emergency,Fire and emergency,Daijiworld,5
2013-01,2013,other,Other,Daijiworld,2
2013-01,2013,crime_public_safety,Public safety,Daijiworld,4
2013-01,2013,road_safety,Road safety,Daijiworld,13
2013-02,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-02,2013,education,Education,Daijiworld,2
2013-02,2013,fire_emergency,Fire and emergency,Daijiworld,2
2013-02,2013,health,Health,Daijiworld,2
2013-02,2013,crime_public_safety,Public safety,Daijiworld,6
2013-02,2013,flood_weather,Rain and weather,Daijiworld,1
2013-02,2013,road_safety,Road safety,Daijiworld,18
2013-03,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-03,2013,education,Education,Daijiworld,3
2013-03,2013,fire_emergency,Fire and emergency,Daijiworld,3
2013-03,2013,other,Other,Daijiworld,2
2013-03,2013,crime_public_safety,Public safety,Daijiworld,2
2013-03,2013,flood_weather,Rain and weather,Daijiworld,1
2013-03,2013,road_safety,Road safety,Daijiworld,21
2013-04,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-04,2013,education,Education,Daijiworld,1
2013-04,2013,fire_emergency,Fire and emergency,Daijiworld,12
2013-04,2013,health,Health,Daijiworld,1
2013-04,2013,other,Other,Daijiworld,5
2013-04,2013,crime_public_safety,Public safety,Daijiworld,3
2013-04,2013,flood_weather,Rain and weather,Daijiworld,1
2013-04,2013,road_safety,Road safety,Daijiworld,24
2013-05,2013,civic_infrastructure,Civic work,Daijiworld,4
2013-05,2013,fire_emergency,Fire and emergency,Daijiworld,5
2013-05,2013,health,Health,Daijiworld,2
2013-05,2013,flood_weather,Rain and weather,Daijiworld,1
2013-05,2013,road_safety,Road safety,Daijiworld,25
2013-06,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-06,2013,education,Education,Daijiworld,4
2013-06,2013,fire_emergency,Fire and emergency,Daijiworld,2
2013-06,2013,health,Health,Daijiworld,3
2013-06,2013,crime_public_safety,Public safety,Daijiworld,3
2013-06,2013,flood_weather,Rain and weather,Daijiworld,10
2013-06,2013,road_safety,Road safety,Daijiworld,33
2013-07,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-07,2013,education,Education,Daijiworld,1
2013-07,2013,fire_emergency,Fire and emergency,Daijiworld,3
2013-07,2013,health,Health,Daijiworld,3
2013-07,2013,other,Other,Daijiworld,4
2013-07,2013,crime_public_safety,Public safety,Daijiworld,8
2013-07,2013,flood_weather,Rain and weather,Daijiworld,3
2013-07,2013,road_safety,Road safety,Daijiworld,30
2013-08,2013,civic_infrastructure,Civic work,Daijiworld,3
2013-08,2013,fire_emergency,Fire and emergency,Daijiworld,5
2013-08,2013,other,Other,Daijiworld,2
2013-08,2013,flood_weather,Rain and weather,Daijiworld,4
2013-08,2013,road_safety,Road safety,Daijiworld,28
2013-09,2013,civic_infrastructure,Civic work,Daijiworld,10
2013-09,2013,fire_emergency,Fire and emergency,Daijiworld,3
2013-09,2013,other,Other,Daijiworld,2
2013-09,2013,flood_weather,Rain and weather,Daijiworld,1
2013-09,2013,road_safety,Road safety,Daijiworld,21
2013-10,2013,civic_infrastructure,Civic work,Daijiworld,1
2013-10,2013,fire_emergency,Fire and emergency,Daijiworld,2
2013-10,2013,health,Health,Daijiworld,2
2013-10,2013,other,Other,Daijiworld,1
2013-10,2013,flood_weather,Rain and weather,Daijiworld,1
2013-10,2013,road_safety,Road safety,Daijiworld,28
2013-11,2013,civic_infrastructure,Civic work,Daijiworld,4
2013-11,2013,fire_emergency,Fire and emergency,Daijiworld,1
2013-11,2013,health,Health,Daijiworld,2
2013-11,2013,other,Other,Daijiworld,2
2013-11,2013,flood_weather,Rain and weather,Daijiworld,3
2013-11,2013,road_safety,Road safety,Daijiworld,32
2013-12,2013,civic_infrastructure,Civic work,Daijiworld,6
2013-12,2013,fire_emergency,Fire and emergency,Daijiworld,3
2013-12,2013,other,Other,Daijiworld,1
2013-12,2013,road_safety,Road safety,Daijiworld,32
2014-01,2014,civic_infrastructure,Civic work,Daijiworld,3
2014-01,2014,fire_emergency,Fire and emergency,Daijiworld,2
2014-01,2014,health,Health,Daijiworld,4
2014-01,2014,other,Other,Daijiworld,2
2014-01,2014,road_safety,Road safety,Daijiworld,27
2014-02,2014,civic_infrastructure,Civic work,Daijiworld,1
2014-02,2014,fire_emergency,Fire and emergency,Daijiworld,6
2014-02,2014,health,Health,Daijiworld,2
2014-02,2014,other,Other,Daijiworld,1
2014-02,2014,flood_weather,Rain and weather,Daijiworld,1
2014-02,2014,road_safety,Road safety,Daijiworld,20
2014-03,2014,civic_infrastructure,Civic work,Daijiworld,5
2014-03,2014,health,Health,Daijiworld,1
2014-03,2014,road_safety,Road safety,Daijiworld,24
2014-04,2014,civic_infrastructure,Civic work,Daijiworld,5
2014-04,2014,other,Other,Daijiworld,1
2014-04,2014,flood_weather,Rain and weather,Daijiworld,1
2014-04,2014,road_safety,Road safety,Daijiworld,27
2014-05,2014,civic_infrastructure,Civic work,Daijiworld,6
2014-05,2014,fire_emergency,Fire and emergency,Daijiworld,2
2014-05,2014,health,Health,Daijiworld,3
2014-05,2014,other,Other,Daijiworld,1
